Adip1,,,Adip2,,,Adip3,,,Adip4,,
Gene name,adjusted p-value,logFC,Gene name,adjusted p-value,logFC,Gene name,adjusted p-value,logFC,Gene name,adjusted p-value,logFC
,,,ZBTB20-AS5,3.72E-75,1.65,FAM20C,6.85E-11,1.49,,,
,,,NOX4,1.77E-74,3.72,EXT1,7.35E-11,1.05,,,
,,,SMC5,2.81E-74,1.58,PNKD,1.22E-10,1.32,,,
,,,SPRY1,3.12E-74,2.41,DEPP1,2.18E-10,1.71,,,
,,,EVA1C,9.51E-74,1.98,DUSP4,2.30E-10,1.33,,,
,,,AL109930.1,4.95E-73,2.70,OSMR-AS1,2.33E-10,1.73,,,
,,,DNM3,5.95E-73,2.24,MIRLET7BHG,2.43E-10,0.88,,,
,,,OPHN1,3.91E-72,1.83,SLC25A25,2.57E-10,1.75,,,
,,,SYNE1,5.33E-72,1.66,DAB2IP,2.87E-10,1.51,,,
,,,SETBP1,6.92E-72,1.73,IGF1,2.94E-10,0.91,,,
,,,PITPNC1,7.52E-72,1.93,RPLP2,2.94E-10,0.89,,,
,,,THUMPD1,1.16E-71,2.39,AP002518.2,3.03E-10,1.17,,,
,,,RORA-AS1,1.28E-71,2.40,EML4,3.04E-10,1.03,,,
,,,NOVA1,1.28E-71,1.85,GNA14,3.05E-10,1.47,,,
,,,RBMS1,2.43E-71,1.36,HDAC4,3.32E-10,1.17,,,
,,,PDE1C,3.23E-71,2.61,RASD1,3.83E-10,1.40,,,
,,,TRPC1,3.27E-71,2.10,ABL1,4.38E-10,0.90,,,
,,,ANKRD44,5.29E-71,1.59,SERINC5,4.49E-10,1.19,,,
,,,ARHGAP26,6.82E-71,1.50,PHLDB2,5.26E-10,1.20,,,
,,,TNRC6C,1.02E-70,1.53,SYNE2,6.50E-10,1.27,,,
,,,IRAK3,1.24E-70,1.44,RRBP1,7.58E-10,1.26,,,
,,,TGFBR2,1.48E-70,1.45,H3F3B,8.37E-10,1.13,,,
,,,SCARA5,2.25E-70,3.98,EIF5,8.85E-10,1.20,,,
,,,ANKUB1,2.25E-70,1.66,PTX3,8.96E-10,2.24,,,
,,,ANKAR,3.37E-70,1.56,MPRIP,9.14E-10,1.21,,,
,,,NAIP,2.40E-69,1.79,RAP1B,1.06E-09,1.00,,,
,,,PTGIS,4.53E-69,4.00,GCLM,1.11E-09,1.26,,,
,,,ANTXR1,6.20E-69,2.12,FAM89A,1.35E-09,1.27,,,
,,,DPYD,6.06E-68,1.32,DTNA,1.97E-09,1.27,,,
,,,FER,8.14E-68,1.38,ASS1,2.32E-09,1.21,,,
,,,PLCXD3,8.41E-68,2.88,CD46,2.46E-09,0.80,,,
,,,MEG3,1.04E-67,4.36,GAREM1,2.50E-09,1.08,,,
,,,CREB5,1.96E-67,2.92,PPA1,2.51E-09,1.00,,,
,,,AXL,2.32E-67,3.01,LIMS1,2.80E-09,0.83,,,
,,,SECISBP2,3.95E-67,1.50,XRN2,3.21E-09,1.33,,,
,,,CRYBG3,8.95E-67,1.44,RUNX1,7.84E-09,1.04,,,
,,,UACA,9.63E-67,2.03,NHS,9.82E-09,0.96,,,
,,,TENT5A,3.66E-66,2.13,DIRC3,1.21E-08,1.15,,,
,,,C1orf21,6.47E-66,1.71,SDCBP,1.39E-08,1.51,,,
,,,AC013394.1,1.54E-65,1.52,RCAN1,1.50E-08,2.00,,,
,,,ACSM1,2.87E-65,5.45,SERPING1,1.63E-08,1.50,,,
,,,SF1,2.94E-65,1.31,PRKCE,1.72E-08,0.86,,,
,,,MSI2,4.82E-65,1.48,LGR4,1.78E-08,0.90,,,
,,,CEBPD,6.97E-65,1.52,TAGLN,2.04E-08,1.36,,,
,,,ICA1L,1.55E-64,2.28,PRDX6,3.06E-08,0.96,,,
,,,PTPRD,1.83E-64,2.22,NAV2,3.50E-08,0.87,,,
,,,MAP1B,3.81E-64,2.69,THADA,3.88E-08,1.20,,,
,,,RPS6KA2,4.89E-64,1.77,PTPRM,3.92E-08,0.59,,,
,,,COL6A1,7.60E-64,1.45,ELL,4.17E-08,1.60,,,
,,,DENND1A,7.89E-64,1.40,KLF10,4.41E-08,1.80,,,
,,,RBMS3,1.12E-63,1.31,BCR,4.90E-08,1.33,,,
,,,CTBP2,2.47E-63,1.88,MYC,5.11E-08,1.79,,,
,,,FCHSD2,6.79E-63,1.50,IPO7,5.34E-08,1.15,,,
,,,DOCK5,1.05E-62,2.39,BMP1,7.32E-08,1.10,,,
,,,ZHX3,1.39E-62,1.41,HS2ST1,9.68E-08,1.45,,,
,,,RAPH1,3.82E-62,1.46,DHCR24,9.79E-08,2.17,,,
,,,BACH2,5.91E-62,3.27,LONRF1,1.16E-07,1.16,,,
,,,NAALADL2,7.14E-62,1.32,FNIP2,1.48E-07,1.01,,,
,,,DIAPH2-AS1,8.74E-62,1.76,PDZRN3,1.50E-07,0.79,,,
,,,LTBP4,9.36E-62,2.78,KIAA0040,1.64E-07,2.23,,,
