,FB1_na,FB1_pv,FB1_lo,FB2_na,FB2_pv,FB2_lo,FB3_na,FB3_pv,FB3_lo,FB4_na,FB4_pv,FB4_lo,FB5_na,FB5_pv,FB5_lo,FB6_na,FB6_pv,FB6_lo,FB7_na,FB7_pv,FB7_lo
76,MYH7,1.8406764057699102e-23,0.93200916,NR2F2-AS1,7.48866818892044e-64,0.97380537,SLC4A7,2.1042983584236806e-90,1.142113,MT-CO2,2.9929099130767174e-58,0.9404445,RPS15,1.792028167893433e-26,1.2450684,ACSM3,8.28438076152725e-55,1.185149,MITF,2.170209317630013e-102,2.8703802
77,OPHN1,1.6664941955742796e-22,0.4463989,CSGALNACT1,3.727546713391263e-61,0.804098,SIK3,2.3092612341304823e-88,0.80090284,SEPT6,2.7264838699847165e-56,1.4415804,PRDX1,2.1866359993322538e-26,1.4454014,NCOA3,1.4248083595192596e-54,1.3120471,GALNT17,5.588036670258052e-101,4.323508
78,DLK1,2.5690132610688743e-22,1.5720209,CNTNAP2,8.392766472620922e-61,0.88889694,ZFP36L1,5.412568865929946e-88,1.0270005,POSTN,1.2610408054653715e-55,4.7837505,TMSB4X,2.3274988845528198e-26,0.825284,RPS6KA2,4.1184961732873383e-54,1.5514971,NRAP,1.3298197189532678e-98,4.356255
79,RUNX1T1,1.4090361298371608e-21,0.4975255,ID1,1.1668959014205392e-60,1.402605,SLC2A13,1.6361103593145237e-87,1.0600529,PEAK1,2.2812054237743974e-55,0.8425161,MT-CYB,6.266107302337082e-26,0.92766225,AC007319.1,4.36939988602334e-54,1.1313485,OBSCN,8.582991650362229e-98,4.031439
80,SNTB1,1.918735333564799e-21,0.685556,ANK3,2.9557416667676865e-60,1.0557153,SLC19A2,6.644693151772661e-87,1.4138064,TRIO,1.2148000937828532e-53,0.78320616,PTMA,9.851924560603074e-26,1.066581,ZHX3,4.6885353792045185e-54,1.2664325,ACTA1,2.767017062130724e-97,2.7588646
81,PQLC2L,2.9189842777103565e-21,0.89724725,NGF,4.1884059178590514e-60,0.74356323,THBS2,7.868412569626912e-86,1.4385383,ANXA5,1.309706728704146e-53,0.9870699,RPL11,4.77516453901552e-25,1.1327422,HIF3A,4.6885353792045185e-54,1.1842817,LMO7,1.466973319870809e-96,3.3668702
82,FRMD3,2.0424527763409894e-20,0.7564455,USP53,7.349802502611189e-60,0.61755604,JUN,1.9951749610745922e-85,1.6127142,PPIB,2.407729421956788e-53,1.1317648,ANXA1,4.973835311993357e-25,1.124922,MGLL,6.02752945853777e-54,1.6472118,MAST4,5.75067442254045e-96,2.1177459
83,COL6A3,2.5603046036188895e-20,0.19668026,RBMS3,2.4567631744140476e-59,0.48197,IGFBP4,9.98194941977084e-85,0.8552245,ANXA2,5.8229805281085815e-53,0.74403983,FP700111.1,8.467728174297802e-25,0.8745411,INPP4B,3.8806511111098476e-53,2.1560574,SLC25A4,1.199915054713995e-94,2.4445248
84,MAMDC2,9.150190132915414e-20,0.39693,EYA2,1.143583368452925e-58,1.1799868,FSIP1,1.2811950333513187e-84,2.7022452,C11orf80,1.9536377299043214e-51,1.6454408,EEF1A1,1.2278713015064244e-24,1.178375,ANO2,6.209993888250694e-53,4.9295464,MTUS2,2.637525249985606e-92,4.258276
85,CALCRL,1.283375515787329e-19,0.60237557,PLXNA4,1.8872418007091395e-58,1.3224237,MT1E,1.376542092067019e-84,1.7897711,TNFAIP6,4.7676167963673095e-51,1.1419576,RPL15,2.0419983872432634e-24,1.0926253,CALCRL,1.6713840819352773e-52,1.3340093,TMEM178B,5.307183749964961e-92,4.345288
86,FNDC3B,2.7538229237021697e-19,0.11594114,ZEB2,4.6659919654887255e-57,0.5223041,COL4A2,3.393290761134808e-82,0.67093885,CTSC,6.743808763888402e-51,1.3457748,MT-CO3,4.481368617024658e-24,0.79009193,PREX2,5.370285992223917e-52,1.2794648,ATP2A2,3.183116299738597e-91,2.3158553
87,NRK,7.583359909084017e-19,1.0541435,CAMK1D,4.6659919654887255e-57,1.0074501,BHLHE40,2.0270047010304576e-80,1.5864631,EXT1,7.555687988846532e-50,0.6262745,RPL41,1.2153911859292749e-23,0.94549,EMCN,7.547652083284648e-52,3.704104,PCDH7,2.281483837401034e-90,3.347441
88,STXBP6,1.3935791002894447e-18,0.69894105,PDLIM3,5.58882075938428e-56,0.8092814,ID2,2.1549925055151122e-80,1.1312288,LTBP1,9.07556146171724e-50,0.57466537,RPL13A,1.590445005410795e-23,1.1371015,MAP1B,9.539074233582601e-52,1.421486,ACACB,1.016367727565858e-89,2.435289
89,BCL2,1.6407649989354406e-18,0.5382173,SLC9A9,1.3540363911842424e-54,0.52077067,IL4R,3.632034765803415e-80,1.4841949,HMCN2,1.5038825608816715e-49,1.1606246,ECM1,1.8251017413275295e-23,1.3124182,CLMN,1.4498894901415492e-51,1.8594114,FHIT,1.386016263577493e-88,2.2026052
90,RHOBTB3,6.149111755582818e-17,0.3188566,GRID2,1.5175018754724635e-54,1.6199124,B4GALT1,1.9943357715748027e-79,0.9574907,GAB2,1.8982683866103745e-49,0.7283253,RPL34,4.4735228264858367e-23,1.2974391,UACA,2.5078749905424566e-51,1.3241401,CERS6,1.765582347888439e-87,3.4776819
91,FTX,7.734385761967146e-17,0.09046789,PLEKHA5,1.6461861299268696e-53,0.40973362,RUNX1,3.429194603888843e-79,1.1307299,THBS4,3.025712506237198e-49,2.674683,PI16,6.61620038107253e-23,1.5133537,MAMDC2-AS1,7.005507372399546e-51,1.5023544,EFNA5,1.2472743701621738e-86,2.7641916
92,CDH19,3.2216971328909417e-15,0.1601291,LPAR1,3.116997928032266e-53,0.5533558,PITPNC1,3.772418873355803e-78,1.0626951,DGKI,4.052979204175365e-49,2.1901822,GSTP1,2.0092376220927902e-22,1.2342575,ANKS1A,1.6999617784402199e-50,1.391402,PDZD2,2.8192365964308027e-86,1.9981638
93,PREX2,2.1015813433866683e-14,0.58431804,MATN2,1.1306823456144802e-51,0.89010584,CDKN1A,4.0963201544253015e-78,2.3620718,EDIL3,5.7534932634525914e-49,1.316007,JUN,2.0437498231036015e-22,1.1047792,PTPRG,2.7209918278148593e-50,0.9680735,ANK2,2.3142352153889417e-85,2.065412
94,FHL2,2.349205382456858e-14,0.4547984,EFNA5,4.901572736184376e-49,1.3815963,TNFAIP6,8.171143200103956e-78,1.4785271,AFF3,1.513294586191366e-48,1.1008314,UBB,2.2646093110464086e-22,1.2933211,PACSIN2,2.9573393001033418e-50,1.7512006,PTPRM,5.717587321313844e-85,1.9125133
95,GRAMD2B,3.464697284369409e-14,0.65201277,MAGI2,5.627186311693759e-49,0.48842525,ZNF331,2.1011058684128037e-77,2.1849942,CYTH3,1.7325953829173953e-48,0.82024026,GRK5,3.0307199818385773e-22,0.58489096,SEC14L1,6.149850862234597e-50,1.9543102,MB,1.1966532552573178e-84,2.1373882
96,ITIH5,3.497212338023313e-14,0.90049994,GHR,3.3385705504105687e-48,0.6612756,RND3,3.056657435670732e-77,1.561939,AEBP1,7.16377309874208e-48,1.360952,GAPDH,3.2314461088042474e-22,1.0356869,SH3RF1,1.8091521843535162e-49,1.2673087,DPF3,3.3033525259498927e-82,4.6061935
97,VEGFD,3.8357164556225445e-14,0.8145639,NAALADL2,3.5011339594670704e-48,0.42378202,PABPC1,5.420193878167522e-77,0.90329266,MFAP5,1.1032902484771665e-47,0.89724195,DBN1,3.3668413993416712e-22,2.125796,EVA1C,3.2808533215403916e-49,1.1254613,FILIP1,4.7407935207906496e-82,1.8128691
98,ZEB1,7.761455380156613e-14,0.18026197,EFEMP1,7.442798282333232e-48,0.6904925,CTSL,1.802145754823606e-76,1.1912824,SKIL,1.0172573687518098e-46,0.8392206,IFITM2,7.728447262043082e-22,1.1166534,PITPNC1,3.426387517041087e-49,1.2113068,RGS6,1.453256702892843e-81,3.6466002
99,PLEKHA5,8.669814297207013e-14,0.11755565,PLXDC2,1.4034039068834293e-47,0.43772388,DENND5A,1.9230857976826615e-76,1.0319532,ADAMTS6,1.343940280808415e-46,1.9571472,RPL36,9.519497318321454e-22,1.3317455,PGM5,7.526443170009152e-49,1.95301,INPP4B,3.875880457011293e-81,2.8018303
