stage,factors,n_factors,youth_restoration_pct_excl,youth_restoration_pct_incl,empirical_clock_rev_yr_excl,empirical_clock_rev_yr_incl,senmayo_shift_excl,senmayo_shift_incl,GJA1_shift,SCN5A_shift,KCNJ2_shift,KCNH2_shift,KCNQ1_shift,CACNA1C_shift,ATP2A2_shift,RYR2_shift,latent_mahalanobis_dist,provenance,stage_rank
Stage3_Quads,CTCF+CREB1+YY1+SP3,4,3.6218,3.6779,0.2205,0.2108,0.00212,0.00212,-0.00504,0.06827,-0.00575,0.00226,0.00142,0.10013,0.0231,0.003,0.1431,COMPUTED_HCA_5307_vCM_RIDGE_GRN,171.0
Stage3_Quads,CREB1+HIF1A+SP3+NFIC,4,3.6042,3.7213,0.1926,0.2064,0.00041,0.00041,-0.0016,0.02565,-0.00533,0.00434,0.00924,0.04456,0.01136,0.00871,0.1448,COMPUTED_HCA_5307_vCM_RIDGE_GRN,172.0
Stage3_Quads,CTCF+REL+YY1+JUND,4,3.603,3.6215,0.302,0.2971,0.00205,0.00205,-0.00267,0.05025,-0.00153,0.00367,-0.0023,0.10937,0.02232,-0.00165,0.1335,COMPUTED_HCA_5307_vCM_RIDGE_GRN,173.0
Stage3_Quads,CTCF+REL+YY1+NFIC,4,3.5843,3.5964,0.3469,0.3298,-0.00158,-0.00158,-0.00135,0.06364,-0.00027,0.00615,0.00296,0.10668,0.02011,0.00216,0.1465,COMPUTED_HCA_5307_vCM_RIDGE_GRN,174.0
Stage3_Quads,HIF1A+REL+JUND+SP3,4,3.5825,3.6772,0.2645,0.2926,0.00143,0.00143,-0.00079,0.00691,-0.00561,0.00495,0.00412,0.06282,0.00606,0.00343,0.1341,COMPUTED_HCA_5307_vCM_RIDGE_GRN,175.0
Stage3_Quads,MITF+CREB1+YY1+JUND,4,3.5553,3.6662,-0.1304,-0.1211,0.00816,0.00816,0.0031,0.02018,-0.00105,-0.00023,-0.0013,0.05016,0.03946,0.00066,0.1981,COMPUTED_HCA_5307_vCM_RIDGE_GRN,176.0
Stage3_Quads,MITF+CREB1+JUND+NFIC,4,3.5468,3.6517,-0.1281,-0.1208,0.00638,0.00638,0.00625,0.0126,-0.00083,0.00121,0.00265,0.00917,0.03228,0.00346,0.1921,COMPUTED_HCA_5307_vCM_RIDGE_GRN,177.0
Stage3_Quads,MITF+YY1+JUND+NFIC,4,3.5462,3.6214,-0.1204,-0.1175,0.00516,0.00516,0.00522,0.01879,-0.00096,0.0002,0.0018,0.04431,0.0221,0.0013,0.1874,COMPUTED_HCA_5307_vCM_RIDGE_GRN,178.0
Stage3_Quads,HIF1A+REL+SP3+NFIC,4,3.5425,3.6308,0.3084,0.3243,-0.00222,-0.00222,0.0,0.01978,-0.00535,0.0073,0.00896,0.05885,0.00143,0.00695,0.1579,COMPUTED_HCA_5307_vCM_RIDGE_GRN,179.0
Stage3_Quads,MITF+CREB1+JUND+SP3,4,3.5223,3.6424,-0.1453,-0.1286,0.00728,0.00728,0.00449,0.01131,-0.00579,0.00037,0.0007,0.0147,0.02806,0.00245,0.1931,COMPUTED_HCA_5307_vCM_RIDGE_GRN,180.0
Stage3_Quads,CTCF+REL+YY1+SP3,4,3.5055,3.5327,0.3234,0.3158,-0.0006,-0.0006,-0.00348,0.06042,-0.00579,0.00516,0.00059,0.10911,0.01484,0.00084,0.1424,COMPUTED_HCA_5307_vCM_RIDGE_GRN,181.0
