source,target,coef
DFFB,FBXL7,0.09850524815839384
DFFB,FTX,0.10030707068107719
DFFB,LINC00486,0.10034800783680924
DFFB,CHD9,0.1013361002249553
DFFB,WWOX,0.10291554199940656
C1orf174,RPS7,0.12559129047920348
C1orf174,ACTG1,0.12629973745904283
C1orf174,EIF1,0.1269852574857301
C1orf174,RPL19,0.12870314074121267
C1orf174,FAU,0.13153815453844483
LINC01134,WFIKKN1,0.07968971750048721
LINC01134,LINC01054,0.08304852508387973
LINC01134,AC133565.1,0.0902041725141768
LINC01134,AC116456.1,0.0902041725141768
LINC01134,AC015921.1,0.09046119189763814
AL805961.1,HIST1H3G,0.10683037141424404
AL805961.1,KRT34,0.10683037141424441
AL805961.1,LINC00498,0.11702856420546004
AL805961.1,MACC1-AS1,0.13084485700873572
AL805961.1,AC087664.2,0.1853097384537596
AL805961.2,AC018557.2,0.10499003611783891
AL805961.2,FGF17,0.10499003611783901
AL805961.2,AC003684.1,0.11509459203055335
AL805961.2,AL356310.1,0.12877331873691486
AL805961.2,FOXH1,0.14880275624280867
AJAP1,TDRD1,0.12098295563612803
AJAP1,Z97206.2,0.12111077609887756
AJAP1,LINC01893,0.12820410442780608
AJAP1,LINC01907,0.15673884265479665
AJAP1,NICN1,0.1567388426547968
AL139823.1,LINC02083,0.1922479586597777
AL139823.1,AC087516.1,0.2180432733600749
AL139823.1,LINC01208,0.2355431262271734
AL139823.1,AC018980.1,0.288552426278845
AL139823.1,AC074050.3,0.3332333183310848
Z98259.3,HORMAD1,0.288444076404134
Z98259.3,CHSY3,0.3190808778303446
Z98259.3,SATB2,0.33667900741936896
Z98259.3,GRM7,0.37280843994473517
Z98259.3,KIF5C,0.42138880828321257
AL365255.1,RRM1-AS1,0.11758220796971892
AL365255.1,TMEM40,0.12588973973844036
AL365255.1,NTN1,0.1263259192577705
AL365255.1,AC079466.2,0.1320616613960569
AL365255.1,AC091073.1,0.1444320433751417
NPHP4,DIP2C,0.16019130178833907
NPHP4,ZBTB16,0.16374694845222826
NPHP4,FNDC3B,0.1651879912664838
NPHP4,ACACB,0.1670103081947094
NPHP4,SLC1A3,0.17957144852351958
KCNAB2,DOCK2,0.15901108059494634
KCNAB2,AKAP13,0.16117080318357727
KCNAB2,LDLRAD4,0.1616466823786361
KCNAB2,SMAP2,0.16200304340669902
KCNAB2,MYO1F,0.19253762507229302
CHD5,KCTD16,0.08828067864631572
CHD5,AC048344.1,0.10253221793904338
CHD5,AC010395.1,0.10253221793904342
CHD5,FAXC,0.10470926393180095
CHD5,LINC00347,0.1328494746195008
RPL22,RPL11,0.8433040838026425
RPL22,RPS23,0.8434477338425574
RPL22,RPLP1,0.8441676249228997
RPL22,RPL32,0.8477507287751551
RPL22,RPL19,0.8495035953443723
RNF207,SORBS2,0.5614993685311304
RNF207,ABLIM1,0.5651391269491562
RNF207,PDE4DIP,0.567575000149008
RNF207,CTNNA3,0.5736099588337162
RNF207,RYR2,0.5749391394482448
ICMT,PTMA,0.14015922657855504
ICMT,NUCKS1,0.1418274367327561
ICMT,HMGB1,0.1424783039489078
ICMT,SELENOW,0.1531443842222985
ICMT,MGST3,0.15950663216250988
GPR153,AC048344.1,0.14115843153000873
GPR153,SAMD11,0.14458694125535704
GPR153,LTBP2,0.14485517703898446
GPR153,ELN,0.15785348072930427
GPR153,AC115989.2,0.18304566505405442
ACOT7,CALM1,0.18554893310485474
ACOT7,HLA-C,0.18602165240312743
ACOT7,TAGLN2,0.18619025453667506
ACOT7,CD59,0.18819878778104557
ACOT7,RHOC,0.1907036560337746
AL031848.2,LINC02058,0.09862115867731243
AL031848.2,AL118505.1,0.09862115867731246
AL031848.2,TMEM262,0.09862115867731254
AL031848.2,SAA1,0.09863588471833065
AL031848.2,AL031275.1,0.12923105208193755
HES2,MGP,0.13084659742889276
HES2,AKR1C1,0.1328673629776435
HES2,VPS13A-AS1,0.1357866375637713
HES2,LINC02443,0.13578663756377138
HES2,P4HA3-AS1,0.1357866375637714
ESPN,AC104316.2,0.09535569733338568
ESPN,LINC02327,0.11068614360767627
ESPN,SEMA3E,0.1111955199463896
ESPN,ADGRG4,0.11692698446876133
ESPN,HMGA2,0.13102949678563838
TNFRSF25,AFDN,0.12173949358767959
